NOMMO	N AA M OW
IRRETRIEVABLESITS	IH R IH T R IY V AH B AH L S IH T S
IPIL	IH P AH L
STYLEHISTORY	S T AY L HH IH S T AH R IY
ELOQUENCEIS	EH L AH K W AH N S IY Z
PATHLESS	P AE TH L AH S
CAULED	K EY AH L D
SHOREMY	SH AO R AH M IY
GAWD	G AO D
DISTRESSFUL	D IH S T R EH S F AH L
FLIPPEDAND	F L IH P AH D AH N D
BOADICCA	B OW D IH K AH
EGGSTHAT	EH G S TH AH T
PINNACES	P IH N AH S AH Z
SHISH	SH IH SH
SOUSE	S AW Z
ARACHIS	AE R AH CH AH S
WAINSCOT	W EY N S K AA T
SIDESLIPPED	S AY D S L IH P T
CHOKECHERRIES	CH OW K CH EH R IY Z
INSTANTS	IH N S T AH N T S
HEADLAMP	HH EH D L AE M P
UPREARING	AH P R IH ER IH NG
NAMEDAFTER	N EY M D AE F T ER
CONTEMNED	K AA N T EH M D
INFLAMMATORIES	IH N F L AE M AH T OW R IY Z
MYALGIA	M AY AE L JH IY AH
INWARDS	IH N W ER D Z
ANDWON	AE N D W AH N
ALWAYSIN	AE L W EY S AH N
CIARÁN	S AY AH R N
STERNWARD	S T ER N W ER D
CLAIMD	K L EY M D
OSSIFYING	AA S AH F AY IH NG
BODIESLIFE	B AA D IY Z L AY F
UNPEOPL	AH N P IY AH P L
LABORHURLED	L EY B ER HH ER L D
COLDMORNING	K OW L D M AO R N IH NG
HOMEROS	HH OW M ER AA S
MÁ	EH M
PLAYI	P L EY IY
DUNGEONED	D AH N JH AH N D
BLAMEOF	B L EY M IY AH F
BROCA	B R AA K AH
WAR/	W AO R
ARCHAICALLY	AA R K EY IH K AH L IY
UPRIGHTIN	AH P R AY T IH N
DOWNSTILL	D AW N S T IH L
FOXGLOVESFOXGLOVES	F AA K S G L AH V Z F AA K S G L AH V Z
MELLOWER	M EH L OW ER
SHIELDETH	SH IY L D IH TH
SUBWEBS	S AH B W EH B Z
OWD	OW D
WHEREOUT	W IY R IY AW T
MUDDLER	M AH D AH L ER
UNGATHER	AH N G AE DH ER
WIPESAWAY	W AY P S AH W EY
RESIGHTING	R IY S AY T IH NG
SEEDSSWEET	S IY D Z S W IY T
RESISTANCES	R IH Z IH S T AH N S IH Z
BLESSET	B L EH S AH T
FOORTH	F OW ER TH
SULMONA	S AH L M AH N AH
SLURPED	S L ER P T
MOONVISIBILITY	M UW N V IH Z AH B IH L AH T IY
MUTIUS	M Y UW T AY AH S
OPENINGIN	OW P AH N IH N JH IH N
FAIRA	F AE AH R AH
THATHOW	TH AE TH OW
LOVEWHEN	L AA V Y UW AH N
FOREKNOWNI	F AO R AH K N OW N IY
OVERTEXT	OW V ER T EH K S T
TICKLER	T IH K AH L ER
PLANTEDBY	P L AE N T EH D B AY
PREFIGURATIONS	P R IY F IH G Y ER EY SH AH N Z
HEREREFRACT	HH EH R AH R EH F R AH K T
TWISTINGON	T W IH S T IH NG AO N
ELOPING	IH L OW P IH NG
GNAWETH	N AO IH TH
EITHERWAY	IY TH AH R W EY IY
RIVERVINE	R IH V ER V AY N
HIRELINGS	HH AY ER L IH NG Z
PUBTALK	P AH B T AO K
HELLEBORE	HH EH L AH B AH R
SUTRAS	S AH T R AH Z
YUMBAS	Y AH M B AH Z
LLBRING	L B R IH NG
LATOUN	L AH T AW N
XCVI	Z K V IY
OPHIUSA	AA F IY UW S AH
WASTEOF	W AA S T IY AH F
CARCASSESOF	K AA R K AE S AH S AH F
SAWBUCK	S AO B AH K
COLDTHE	K AA L D
BOYSAS	B OY S AH Z
JUNGLEJIMS	JH AH NG G AH L JH IH M Z
HOTBLAZE	HH AA T B L EY Z
DREAMSAND	D R IY M S AE N D
USEDTHE	Y UW S AH D
SEISE	S AY Z
ENGIN	EH N JH IH N
CHANGEDHAD	CH AE N JH EH D HH AH D
WEARIER	W IH R IY ER
PUDDLED	P AH D AH L D
MOWNTRAVELLED	M OW N T R AH V AH L D
BOTTLESFORDHE	B AA T L EH S AH R D HH
LAVENDERISH	L AE V AH N D ER IH SH
WAXETH	W AE K S IH TH
SUBLUNARITIES	S AH B L UW N ER AH T IY Z
OVERHEADFLICKERS	OW V ER HH EH D F L IH K ER Z
WALLLIKE	W AO L AY K
BONIE	B OW N IY
FORETASTED	F OW R T EY S T IH D
PRECONSCIOUS	P R IY K AA N SH AH S
UBARTUTU	Y UW B AH R T Y UW T UW
RUNNIN	R AH N AH N
MAYHAVE	M EY HH EY V
BYYNGE	B AY AH N JH
STOREWRAPPED	S T OW R AE P T
INCENS	IH N S EH N Z
RECAL	R IY S AH L
MILLETSEED	M IH L EH T S IY D
NYSTAGMUS	N IH S T AH M AH S
CARAVELS	K AE R AH V AH L Z
FORETHINK	F OW R TH IH NG K
ATTAINTED	AH T EY N T EH D
CRUCIFORM	K R UW S AH F AH R M
SUCCESSLESS	S AH K S EH S L AH S
FORGATHER	F AO R G AE DH ER
UNSILVERED	AH N S IH L V ER D
GRAVEDIGGERS	G R EY V D IH G ER Z
RUBBERNECKING	R AH B ER N EH K IH NG
10:49	W AH N Z IY R OW F OW R N AY N
LINESOF	L IH N AH S AH F
CONSIGNER	K AH N S AY N ER
ANTHOZOA	AE N TH AA Z OW AH
BUSAT	B Y UW S AH T
FRENCHROLL	F R EH N CH R OW L
PEPPERMILL	P EH P ER M IH L
COTTONMOUTHS	K AA T AH N M AW TH S
BLAMECALL	B L EY M K AO L
CLOSED–NOT	K L AH S EH D N AH T
USEDTO	Y UW S EH D T OW
PRESCRIB	P R IY S R IH B
AMÉRICAIN	AE M R AH K EY N
PONENT	P OW N AH N T
FLAMEAND	F L EY M IY N D
LONELYMAYBE	L OW N L IY M EY B IY
CRULLE	K R UW L
LIEGT	L IY G T
FLANKSTO	F L AE NG K S T OW
TRECEAV'ST	T R IY S IY V S T
KWASHIORKOR	K W AA SH IY AO R K AH R
TIRRA	T AH R AH
MAPLEHERE	M AE P L AH HH AH R
YEARSTO	Y AH R S T OW
STARTAND	S T AA R T AH N D
TARLAVSKY	T AA R L AE V S K IY
HELICONIAN	HH EH L AH K OW N IY AH N
ITCAUGHT	IH T AH T
QUOIN	K W OY N
DOGUNDER	D AO G AH N D ER
MILKSICKNESS	M IH L K S IH K N AH S
PRUDELLA	P R UW D EH L AH
BEFOREON	B IH F OW R AO N
BODYLOWERED	B AA D IY L OW ER D
EPIPHANIA	EH P AH F EY N Y AH
STABAT	S T AE B AH T
UNTENANCY	AH N T EH N AH N S IY
IDES	AY D Z
HEARTOPENING	HH AA R T OW P AH N IH NG
LUSTRATION	L AH S T ER EY SH AH N
MAGIAN	M EY JH AH N
MAUVAIS	M AO V EY AH S
OVERLEAPT	OW V ER L EH P T
KEEPETH	K IY P IH TH
ÉSTO	S T OW
DECIPHERS	D IY S AY F ER Z
UNCLASP	AH N K L AE S P
SPAULDER	S P AO L D AH R
ABORDE	AE B AH R D
WAISTCOAT	W EY S T K OW T
LEVELLING	L EH V AH L IH NG
SELECTEDSLEEP	S AH L EH K T IH D S L IY P
/SPLIT	S P L IH T
CHANGINGTO	CH AE N JH IH N G T OW
SNOWTHAT	S N OW TH AH T
TAMBOURS	T AE M B OW Y AH R Z
LITTLEPOCKET	L IH T AH L P AA K AH T
I2	AY T UW
UNUS	Y UW N AH S
NAMO	N AE M OW
UNFEARINGLY	AH N F IH ER IH NG L IY
SURROUNDEDBY	S AH R AW N D IH D B AY
MADEAN	M EY D IY AH N
YALLER	Y AO L AH R
MAGNETIZE	M AE G N AH T AY Z
SDENIALS	S D IY N IY AH L Z
DISSOLUTE	D IH S AA L Y UW T
MYLAI	M IH L EY
SQUAW	S K W AO
NEVERE	N IY V AH R
POWERFULLER	P AW ER F AH L ER
REIND	R IY AY N D
SAULRISES	S AO L R AY Z AH Z
FOODE	F UW D
CLAMOURED	K L AH M OW Y AH R D
TINCTUR	T IH NG K T AH R
SYNCHRONICITIES	S IH NG K R AH N IH K S AH T IY Z
LEAKINGAND	L IY K IH N G AH N D
ADORNETH	AH D AO R N IH TH
SOMEONEAND	S OW M IY AH N IY N D
WEARYOUR	W IY R AY AH R
DEADTERRIFIES	D EH D T EH R AH F AY Z
W/OUT	W AW T
LASSE	L AE S
RAMLEH	R AE M L
AROUNDMY	AH R AW N D M IY
BREATHINGWRONGS	B R IY DH IH NG R AO NG Z
THIEFUNNAMED	TH IY F AH N EY M D
UNPERPLEXED	AH N P ER P L EH K S T
PONTIC	P AA N T AH K
XXVIII	Z K S V IY IY
WINDOWSTHE	W IH N D OW S DH
HONIES	HH OW N IY Z
FIRESCREEN	F AY ER S K R IY N
ITHACAN	IH TH AH S AH N
ATLANTEAN	AE T L AE N T IY AH N
CLOUDSIN	K L AW D S IH N
PILLOWCASEI	P IH L AH K EY S IY
GILLED	G IH L D
COINSI	K OW AH N S IY
OPINIOUN	AH P IH N IY AW N
RIVERAT	R IH V AH R AH T
NESH	N EH SH
PREFACING	P R EH F AH S IH NG
92ND	N AY N T UW EH N D IY
DELECTATION	D IY L EH K T EY SH AH N
QUAILED	K W EY AH L D
SISSIES	S IY Z IY Z
AREAT	AH R IY T
WARME	W AO R M
CLIFFSIDE	K L IH F S AY D
BORODIN	B AO R AH D AH N
STAMPT	S T AE M P T
AESTHETICIANS	EH S TH AH T IH S IY AH N Z
BEDEVILMENTS	B IH D IY V IH L M AH N T S
JEOFFRY	JH IY AA F R IY
NEERE	N IH R
AHISTORICAL	AH HH IH S T AO R IH K AH L
CHARIOTEER	CH AE R IY AH T IH R
BOOKSTALLS	B UH K S T AO L Z
LAWNWERE	L AO N W AH R
WORDHARD	W ER D HH AA R D
MUMMICHOG	M AH M IH K HH AA G
COUGHIN	K AO F IH N
MADAURIAN	M AE D AH Y UH R IY AH N
TROUBLESAND	T R AH B AH L S AE N D
HANDLESS	HH AE N D L AH S
PILLBOX	P IH L B AA K S
SPINNINGAND	S P IH N IH N G AH N D
TONGUELY	T AH NG L IY
SSURFACE	S AH R F AH S
MOULAGE	M OW AH L AH JH
SWAGGERS	S W AE G ER Z
WRIGGLESBY	R IH G L EH Z IY
VOCE	V OW S
PURPOSEBUT	P AH R P AA S AH B AH T
SNOUTED	S N AW T IH D
UNPEELS	AH N P IY L Z
OTHERSBUT	AH TH AH R S B AH T
EDIFIE	EH D AH F AY
BETTERIX	B IH T EH R AH K S
RETOUCH	R IY T AH CH
REPROACHES	R IH P R OW CH IH Z
ITONE	AH T OW N
HOED	HH OW D
LETTERSARE	L EH T AH R S AH R
KAUGHT	K AO T
14–31	W AH N F OW R TH R IY W AH N
GARGANTUA	G AA R G AE N T Y UW AH
OBAY	AA B EY IY
EARLOBE	IH ER L OW B
HANDSASTONISHED	HH AE N D Z AH S T AA N IH SH T
COMPLETEPOSH	K AH M P L IY T P AA SH
JEDIDIAH	JH AH D IH D AY AH
JIZZOF	JH IH Z AH F
'REFT	R EH F T
WYGHT	W IH T
ANTARCTICUS	AE N T AA R K T IH S AH S
HÔTEL	HH T EH L
CONSIDEREDDEEPLY	K AH N S AY D R EH D IY P L IY
COZUMEL	K OW Z UW M AH L
KNOWWHOSE	N OW W HH OW Z
PLAINING	P L EY N IH NG
ORANGELY	AO R IH N JH L IY
WATERWAVERS	W AO T ER W EY V ER Z
KNOCKT	N AA K T
ILLUMIN	IH L UW M AH N
FRANK……FRANK	F R AE NG K F R AE NG K
SUNBURSTS	S AH N B ER S T S
DISSOLVETO	D IH S OW L V AH T OW
IGIGI	IH JH AH JH IY
KINDAND	K IH N D AH N D
ARCTURAN	AA R K T Y AH R AH N
OP'NST	AA P N S T
GOTA	G OW T AH
MAIZEDOWN	M EY Z AH D OW N
DOUBLOONSFILCHED	D AH B L UW N Z F IH L CH T
LAISTRYGONIANS	L EY S T R AH G OW N IY AH N Z
ANEMONIES	AH N EH M AH N AY Z
ASLEEPIN	AH S L IY P IH N
302	TH R IY Z IY R OW T UW
TEAZING	T IY Z IH NG
WEILEST	W IY AH L AH S T
PROCUR	P R OW K ER
CONCERNE	K AA N S AH R N
CLEANESTOF	K L IY N EH S T AH F
BEENBLACK	B IH EH N B L AE K
BORRA	B AO R AH
REVIV'ST	R AH V IH V S T
BALISONG	B AE L AH S AH NG
ANTIPATER	AE N T AY P EY T ER
COFFERDAMS	K AO F ER D AE M Z
ENTRING	EH N T R AH NG
DROWNINGBETWEEN	D R OW N AH N G EH T W IY AH N
BEGONNE	B AH G AA N
BURBOT	B AH R B AH T
HORSEPLAYER	HH AO R S P L EY ER
HIVING	HH AY V IH NG
TIMEI	T IH M IY
WAISTED	W EY S T IH D
UNREVISITED	AH N R IY V IH Z AH T IH D
PITEOUSLY	P IH T IY AH S L IY
PEDLER	P EH D L AH R
DANCINGWAY	D AE N S IH NG W EY
BOOGIES	B UW JH AY Z
PORTAGOOSE	P OW R T AH G UW S
KINSWOMAN	K IH N Z W UH M AH N
JAPANTHERE	JH AH P AE N TH AH R
MONEYFOR	M AH N IY F AO R
UNEXPERT	AH N EH K S P ER T
LACTESCENT	L AE K T EH S AH N T
COLDPLUCKED	K OW L D P L AH K T
BELTWAYYOU	B IH L T W EY AY UW
SUFFRANCE	S AH F R AH N S
ROUNE	R AW N
HELIOPAUSE	HH IY L IY AH P AH Z
GAM	G AE M
CAMALDOLENSIAN	K AH M AE L D AH L EH N Z IY AH N
JOOOOOB	JH UW UW AH B
'BIRDS	B AH R D Z
BUXUMNESSE	B AH K S AH M N AH S
TAPIOCA	T EY P IY AH K AH
ENGULPH	IH N G AH L F
SILTED	S IH L T AH D
SWERV	S W AH R V
CAM'ST	K AE M S T
DISESPOUS	D AH S EH S AH S
THYNNE	TH IH N
'PURSUE	P AH R S UW
RABAN	R EY B AH N
EMPRISON	IH M P R IH Z AH N
–DOES	D AH Z
SWALLOWINGS	S W AA L OW IH NG Z
HILLOCKS	HH IH L AH K S
UNDRESSING	AH N D R EH S IH NG
SHATTERSA	SH AE T AH R S AH
EMBLEMATICAL	EH M B L AH M AE T IH K AH L
PHEMISTIC	F EH M AH S T AH K
VIVACE	V IH V AH S
FLACCO	F L AE K OW
CANTED	K AE N T IH D
OUTLANDISHLY	AW T L AE N D IH SH L IY
COPYHOLD	K AA P IY HH OW L D
MASAKICHI	M AH S AE K AH CH IY
CISTERNAL	S IH S T ER N AH L
CABLING	K AE B L IH NG
HURTFULLY	HH ER T F AH L IY
BEASTLINESS	B IY S T L IY N AH S
LEAFBETWEEN	L IY F B EH T W IY AH N
DUMPLIN	D AH M P L AH N
DROUGHTH	D R AO TH
KAISO	K EY S OW
MCLAVERTY	M K L AH V EH R T IY
ILLO	IH L OW
MEETCETERA	M IY T S EH T AH R AH
MUSKEG	M AH S AH G
UNHEATED	AH N HH IY T IH D
FREE/	F R IY
NICKEDFROM	N IH K EH D F R AH M
ERICYOU	AH R IH S AY UW
SURMOUNTS	S ER M AW N T S
STINY	S T AY N IY
ANDRA	AE N D R AH
BURPS	B AH R P S
JABBERINGS	JH AE B ER IH NG Z
JUNKERS	JH AH NG K ER Z
TÚS	T IY S
PRIDEALL	P R AY D AO L
PURTREYE	P AH R T R EY
DISROBING	D IH S R OW B IH NG
MCTELL	M K T EH L
BURNIE	B ER N IY
DYNAMITES	D AY N AH M AY T S
PARTSTHAT	P AA R T S TH AH T
SIGHES	S AY Z
UNRETURNING	AH N R IY T ER N IH NG
DETAINS	D IH T EY N Z
AXONOMETRIC	AE K S AA N AH M AH T R AH K
KINK	K IH NG K
INGENDRING	IH N JH EH N D R AH NG
RECONCILEMENT	R EH K AH N S AY L M AH N T
NIGHT…	N AY T
GRIOT	G R AY AH T
PERSISTENCY	P ER S IH S T AH N S IY
ORTRIBES	AO R T R AY B Z
SYNTH	S IH N TH
INTEGUMENTS	IH N T EH G Y UW M AH N T S
UNLICENC'T	AH N L IH S AH NG K T
UNDERTAKETO	AH N D AH R T AE K AH T OW
MISFIRESLOOMING	M IH S F AY ER Z L UW M IH NG
WOODLAWN	W UH D L AO N
SUBTLEST	S AH T AH L AH S T
DIVIDERS	D AH V AY D ER Z
LAUGHTERAS	L AO T AH R AH Z
CAVAFY	K AE V AH F IY
UNREPARATED	AH N R EH P ER EY T IH D
SENTE	S EH N T
ECO­	EH K OW
LATITUDESUNSTRUNG	L AE T AH T UW D S AH N S T R AH NG
1919	W AH N AY N W AH N AY N
WALKNOTHING	W AO K N AH TH IH NG
INCUPIDISSIMUS	IH N K Y UW P AH D IH S AH M AH S
SINISTERLY	S IH N AH S T ER L IY
NEIGHB'RING	N EY B R AH NG
HAVOCJUST	HH AE V AH K JH AH S T
ANAPESTIC	AH N AE P AH S T IH K
ITASTED	AH T AE S T AH D
LIFE/	L AY F
OUTOH	AW T OW
PERADVENTURE	P ER AH D V EH N CH ER
UNVALUED	AH N V AE L Y UW D
THEMSELVESMORE	TH EH M Z AH L V EH Z M AH R
HOLMS	HH OW L M Z
CHURCHWARDEN	CH ER CH W ER D AH N
600	S IH K S Z IY R OW Z IY R OW
HAMBRE	HH AE M B AH R
DO'IT	D AA AH T
OTHERSYSTEMS	AH DH ER S IH S T AH M Z
SIFTINGON	S IH F T IH NG AO N
MYSELFSITTING	M AH S EH L F S IH T AH NG
FUZZILY	F AH Z IY L IY
BAALLET	B AA L AH T
CARIB	K AE R AH B
HANDABRUPT	HH AE N D AH B R AH P T
EVENINGTIDE	IY V N IH NG T AY D
WHISPERSHOW	W IH S P ER SH OW
FORME	F AO R M
CALX	K AE L K S
FILTHIEST	F IH L TH IY AH S T
TDOUBT	T D AW T
SHLOGADH	SH L AA G AH D
LUVE	L UW V
ODALISQUES	AA D AH L AH S
FIGURANT	F IH G Y ER AH N T
OTHERWHICH	AH TH AH R W HH AH CH
PINKERMINT	P IH NG K ER M IH N T
VIOLARE	V AY AH L AH R
SINUOUSLY	S IH N Y AH W AH S L IY
TURNINGFROM	T AH R N IH N G F R AH M
NAPOLEAN	N AH P OW L IY AH N
DÍOSCÁN	D AA S N
SCINTILLATION	S IH N T AH L EY SH AH N
GRILLWORK	G R IH L W ER K
OVERWHELMHIS	AH V AH R W HH EH L M AH S
SCORNER	S K AO R N ER
BIRADWHEN	B AY R AE D W AH N
SENATEHOUSE	S EH N AH T HH AW S
JILTS	JH IH L T S
SINGLEJACK	S IH NG G AH L JH AE K
STARLIGHT7	EH S T IY EY AA R EH L AY JH IY EY CH T IY S EH V AH N
CAWED	K AO D
YOWE	Y OW
BETTER/	B EH T ER
LIMBSTHEY	L IH M B S TH IY
–LOVE	L AH V
EUPHONIUM	Y UW F OW N IY AH M
ANIMUSTO	AE N AH M AH S T OW
BOEUF	B OW AH AH F
AQUAVIT	AE K W AH V AH T
BERSERKING	B IY ER Z ER K IH NG
STRUMPET	S T R AH M P EH T
JONGG	JH AA N G
ERIUGINA	IY R IY UW JH AH N AH
BLOWEST	B L OW AH S T
NOVENAS	N AA V AH N AH Z
CONFESSIONERS	K AH N F EH SH AH N ER Z
'AD	AE D
PETATLÁN	P EH T AH T L N
SNED	S N EH D
GRANED	G R EY N D
SNITCHED	S N IH CH T
FLOORBOARDSYAWNED	F L OW R B OW R D Z Y AO N D
STAINE	S T EY N
KOCHERAS	K AA CH AH R AH Z
URENUI	Y UH R AH N UW
DIFFERENCEBETWEEN	D IH F AH R EH N S AH B EH T W IY AH N
SERAPÉ	S EH R AH P
PLAYSWITH	P L EY Z W IH TH
LATTERDAY	L AE T ER D EY
COMPROMISEWOULD	K AA M P R AH M IH S Y UW OW L D
SEELIEST	S IY L IY AH S T
CURVITY	K ER V AH T IY
IMPRECCABLE	IH M P R IH K AH B AH L
INDITING	IH N D AY T IH NG
PRINCELING	P R IH N S L IH NG
BLOSSOMER	B L AA S AH M ER
WRAPP	R AE P
HORRORSTRUCK	HH AO R ER S T R AH K
THEYD	TH EY D
LAWDY	L AO D IY
KIVA	K IH V AH
FISHLINE	F IH SH L AY N
LOLLYPOP	L AA L IY P AA P
PELOP	P EH L AH P
BONGING	B AA NG IH NG
CROKED	K R OW K T
THINKTHE	TH IH NG K DH
BEHIGHT	B AH HH AY T
CAMUY	K AE M Y UW IY
FOON	F UW N
SHOWERY	SH OW AH R IY
MACEDONIANCLEAVING	M AH S AH D OW N IY AH NG K L IY V AH NG
POSTURED	P AA S CH ER D
UNRUFFLING	AH N R AH F AH L IH NG
CROPPERS	K R AA P ER Z
'PRAY	P R EY IY
SUNDIALS	S AH N D AY AH L Z
MENAGERIES	M AH N AE JH AH R IY Z
ENCASING	EH N K EY S IH NG
GROTESQUERY	G R OW T EH S K AH R IY
DESEEDED	D IY S IY D IH D
DUENDES	D Y UW AH N D Z
CAPITANE	K AE P AH T EY N
WHATWILL	W AA T W AH L
ENIMY	AH N AY M IY
ARTICULAT	AA R T AH K Y UW L AH T
SHOULDERBLADES	SH OW L D ER B L EY D Z
THESEIMAGES	TH IY S IY M AH JH AH Z
TWEEDLED	T W IY D L EH D
HIRELING	HH AY ER L IH NG
BRAINWAVE	B R EY N W EY V
LANYARDS	L AE N AY AH R D Z
SPREADFROM	S P R IY D F R AH M
CHEVAUX	CH EH V AH K S
SETIA	S IY SH IY AH
CRISPENING	K R IH S P AH N IH NG
RENOWNE	R AH N OW N
LEVERED	L IY V ER D
QUAHAUG	K W AA HH AH G
…GONE	G AO N
WASHESTHE	W AA SH AH S DH
ASCARIDES	AE S AH R AY D Z
POMOMOMO	P AH M AA M AH M OW
INFAMIE	IH N F EY M IY
MARSHMELLOWED	M AA R SH M EH L OW D
2011	T UW Z IY R OW W AH N W AH N
ABLAZETHE	AE B L AH Z AH DH
BALANCEBACKWARDS	B AE L AH N S B AE K W ER D Z
NÁRBH	EH N AA R B IY
'FILL	F IH L
COULERS	K OW Y UW L AH R Z
SHOWINGAWARENESS	SH OW IH NG AH W EH R N AH S
MUYUT	M Y UW AY AH T
NAMOR	N EY M ER
OBEAH	OW B IY AH
OMNIGENOUS	AA M N IH JH AH N AH S
NISIBIS	N IH S AH B AH S
KICKSSPIKED	K IH K S P AY K T
THIM	TH IH M
UNDENIED	AH N D IH N AY D
LISSOME	L IH Z S AH M
BLINDLYAT	B L IH N D L AY AH T
RÉSUMÉS	R S AH M Z
EYEN	AY AH N
RAMPD	R AE M P D
STARTL	S T AA R T L
HOUSEFLIES	HH AW S F L AY Z
TELLURIANS	T EH L UH R IY AH N Z
FAILYE	F EY L AY
WHIDS	W IH D Z
CACAPHONIES	K AH K AE F AH N AY Z
PARTMENT	P AA R T M AH N T
ABANDOND	AH B AE N D AH N D
SHIRTLIKE	SH ER T L AY K
ASSORTMENTOF	AE S AH R T M EH N T AH F
QUAEREBAM	K W IY R AH B AH M
FRAGRANCIES	F R EY G R AH N S IY Z
'MOST	M AA S T
PIMPLEBLACK	P IH M P AH L B L AE K
PULLBELL	P UH L B EH L
BOOTLACES	B UW T L EY S IH Z
CHIASSI	CH AY AE S IY
GUITARRA	G UW T AE R AH
AËRY	AE R IY
KORSAKOV	K AO R S AH K AH V
CREEKSIDE	K R IY K S AY D
PILLED	P IH L D
REMEMBERINGWHICH	R AH M EH M B AH R IH N G W HH AH CH
ASSIMILATES	AH S IH M AH L AH T S
MINUTEN	M IH N AH T AH N
DOCTAHHE	D AA K T AH HH
HARD'ND	HH AA R D N D
JALOUSIES	JH AE L AW S AY Z
SENEGA	S EH N AH G AH
GALEOTO	G EY L IY AH T OW
NOURISHMENTOF	N AH R AH SH M EH N T AH F
PYRAMIDSWET	P IH R AH M IH D Z W EH T
WELLNYE	W EH L N AY
VETCHED	V EH CH T
WEWEREN	W UW AH R AH N
WYSH	W IH SH
MASSIVEDIAGONAL	M AE S IH V D AY AE G AH N AH L
RAPHAELS	R AH F IY L Z
VULGI	V AH L JH IY
GRACEIN	G R EY S IH N
ANODYNES	AE N AH D AY N Z
MONOGRAMS	M AA N OW G R AE M Z
PHISICIANS	F AH S IH S IY AH N Z
LEDDE	L EH D
BUFFLEHEAD	B AH F L AH HH IY D
RELAXER	R IH L AE K S ER
FLOOROF	F L UH R AH F
UNWISER	AH N W AY Z ER
SHIRTTHE	SH AH R T DH
FACTOTUM	F AE K T AH T AH M
BREATHALYZER	B R IY TH AH L AY Z AH R
LAIK	L EY K
FERRULES	F EH R AH L Z
SUNSPANGLED	S AH N S P AE NG G AH L D
DANG'ROUS	D AE N G R AH S
GINGERSNAP	JH IH N JH ER S N AE P
NOIRE	N OY R
SONLY	S AH N L IY
CITIZENED	S IH T AH Z AH N D
DOYAMAKI	D OY AE M AH K IY
TUMBRILS	T AH M B R AH L Z
AEGAEAN	EH G IY AH N
FEARTHE	F AH R DH
BOUNTEOUS	B AW N T IY AH S
PUCE	P Y UW S
FRANÇAIS	F R AE N EY AH S
ANNOYNTED	AE N OY N T AH D
SPRIT	S P R IH T
PRESAGEFUL	P R EH S IH JH F AH L
WAKETHEY	W AE K AH TH IY
DASSHED	D AE S T
DEWYNE	D AH W AY N
MUSN	M AH Z N
MARRAM	M AA R AE M
BLOSSOMINGS	B L AA S AH M IH NG Z
PROLETARIATS	P R OW L AH T EH R IY AH T S
UNPITYED	AH N P IH T IY D
BUDELLA	B Y UW D EH L AH
WALKDOWN	W AO K D AW N
BLACKSET	B L AE K S EH T
TREMBLINGLY	T R EH M B AH L IH NG L IY
CIRCLEOF	S AH R K L IY AH F
GROUNDTHE	G R AW N D DH
GESTUREWOULD	JH EH S T Y UH R UW OW L D
PROPT	P R AA P T
IMAGELESS	IH M IH JH L AH S
MAIDENHEADS	M EY D AH N HH EH D Z
TRAPPERSHEARD	T R AE P ER Z HH ER D
MLACQUERNOR	M L AE K W AH R N AH R
LUNKA	L AH NG K AH
MONONUCLEOSIS	M AA N AH N AH K L IY OW S AH S
WARUM	W AE R AH M
PUPUTAN	P Y UW P Y UW T AH N
COK	K AA K
HARUM	HH AE R AH M
DOTAGE	D OW T IH JH
25,000	T UW F AY V Z IY R OW Z IY R OW Z IY R OW
OUTWITH	AW T W IH TH
OGLEBY	OW G AH L B AY
ERPRESSED	AH R P R AH S T
THROATAND	TH R OW T AH N D
BAAL	B EY AH L
SWHO	S W HH OW
1744	W AH N S EH V AH N F OW R F OW R
*SETUP	S EH T AH P
COLORHAD	K OW L AO R AH D
KINDE	K IH N D
ORNAMENTALS	AO R N AH M AH N T AH L Z
POONG	P UW NG
HOUSESSAFE	HH AW S IH Z S EY F
SUEÑO	S UW AH OW
FLESHOR	F L EH SH ER
GAYEST	G EY AH S T
AVIATRIX	EY V IY AE T R AH K S
SOMETHIN	S AA M AH TH AH N
INTHRALLS	IH N TH R AE L Z
THISTLEDOWNOR	TH IH S T L AH D OW N AH R
PULCINELLO	P UH L S AH N EH L OW
SHAMETHE	SH AE M AH DH
THIS–	DH IH S
BEINGWHO	B IH AH N G W HH OW
EYESWRITE	AY Z R AY T
EREIGN	IY R EY N
HOLLA	HH AA L AH
ULALUME	Y UW L AH L UW M
BRUSHINGS	B R AH SH IH NG Z
AMBIVALENTVAGINA	AE M B IH V AH L AH N T V AH JH AY N AH
STAIRSTO	S T AE AH R S T OW
DEVILJ	D AH V IH L JH
PAUSEIN	P AO Z IH N
DEFLATES	D IH F L EY T S
SARSAPARILLASARSAPARILLA	S AE S P AH R IH L AH S AE S P AH R IH L AH
AQUI	AE K W IY
POILUS	P OW AH L AH S
BLOODHISSING	B L AH D HH IH S IH NG
PASSCHENDAELE	P AE S AH N D IY L
POOLDOM	P UW L D AH M
LENGTHNEVER	L EH N G TH N IY V AH R
FITFOR	F IH T F AO R
TWICENESS	T W AY S N AH S
RIGHT–	R AY T
SOUNDAND	S AW N D AH N D
CORNSILK	K AO R N S IH L K
MIRRORMENTS	M IH R ER M AH N T S
SUBVOCAL	S AH B V OW K AH L
SORENESS	S OW R N AH S
FREEZETO	F R IY Z AH T OW
WALKAND	W AA L K AH N D
